origin,maxt,mint,year,month,day
DEN,23,-2,2008,1,1
DEN,35,3,2008,1,2
DEN,50,33,2008,1,3
DEN,50,37,2008,1,4
DEN,55,29,2008,1,5
DEN,44,26,2008,1,6
DEN,36,21,2008,1,7
DEN,40,21,2008,1,8
DEN,38,23,2008,1,9
DEN,43,15,2008,1,10
DEN,45,23,2008,1,11
DEN,42,20,2008,1,12
DEN,40,19,2008,1,13
DEN,46,24,2008,1,14
DEN,47,19,2008,1,15
DEN,21,1,2008,1,16
DEN,28,-2,2008,1,17
DEN,27,10,2008,1,18
DEN,40,6,2008,1,19
DEN,46,11,2008,1,20
DEN,11,0,2008,1,21
DEN,37,-3,2008,1,22
DEN,28,10,2008,1,23
DEN,39,5,2008,1,24
DEN,47,20,2008,1,25
DEN,54,28,2008,1,26
DEN,63,31,2008,1,27
DEN,54,25,2008,1,28
DEN,36,13,2008,1,29
DEN,40,14,2008,1,30
DEN,37,8,2008,1,31
DFW,51,31,2008,1,1
DFW,43,23,2008,1,2
DFW,46,25,2008,1,3
DFW,61,32,2008,1,4
DFW,79,56,2008,1,5
DFW,77,59,2008,1,6
DFW,80,68,2008,1,7
DFW,73,45,2008,1,8
DFW,62,34,2008,1,9
DFW,62,43,2008,1,10
DFW,68,36,2008,1,11
DFW,58,41,2008,1,12
DFW,60,32,2008,1,13
DFW,65,34,2008,1,14
DFW,66,34,2008,1,15
DFW,55,40,2008,1,16
DFW,42,27,2008,1,17
DFW,44,30,2008,1,18
DFW,43,28,2008,1,19
DFW,53,25,2008,1,20
DFW,45,40,2008,1,21
DFW,45,32,2008,1,22
DFW,43,32,2008,1,23
DFW,45,30,2008,1,24
DFW,40,35,2008,1,25
DFW,56,39,2008,1,26
DFW,69,33,2008,1,27
DFW,68,48,2008,1,28
DFW,70,33,2008,1,29
DFW,56,30,2008,1,30
DFW,54,32,2008,1,31
MCO,71,49,2008,1,1
MCO,49,34,2008,1,2
MCO,54,31,2008,1,3
MCO,66,42,2008,1,4
MCO,73,49,2008,1,5
MCO,76,53,2008,1,6
MCO,77,56,2008,1,7
MCO,79,59,2008,1,8
MCO,80,51,2008,1,9
MCO,81,56,2008,1,10
MCO,81,56,2008,1,11
MCO,81,60,2008,1,12
